Code,Name_EN,Total_average_ income,Salary,Wages_agri,Non_agri,Others_income
1,Ha Noi,6054,3960,166,1134,795
26,Vinh Phuc,3698,1914,340,1084,362
27,Bac Ninh,5445,2498,264,2037,647
22,Quang Ninh,4777,2649,528,1081,519
30,Hai Duong,3693,2094,529,676,394
31,Hai Phong,5116,2811,341,1117,848
33,Hung Yen,3843,2057,449,925,412
34,Thai Binh,3547,1678,496,796,577
35,Ha Nam,3608,1814,445,814,535
36,Nam Dinh,3383,1582,370,985,448
37,Ninh Binh,3777,1800,566,851,560
2,Ha Giang,1725,667,517,376,166
4,Cao Bang,1856,1058,408,215,176
6,Bac Kan,1945,967,547,301,130
8,Tuyen Quang,2261,1052,501,428,282
10,Lao Cai,2324,1001,472,659,192
15,Yen Bai,2289,1068,496,457,269
19,Thai Nguyen,4014,2239,527,957,293
20,Lang Son,2047,908,511,414,215
24,Bac Giang,3450,1673,609,742,426
25,Phu Tho,2892,1605,358,591,338
11,Dien Bien,1477,572,420,305,181
12,Lai Chau,1492,619,493,218,163
14,Son La,1483,511,692,160,120
17,Hoa Binh,2295,1173,486,305,331
38,Thanh Hoa,3014,1529,446,683,357
40,Nghe An,2542,1190,437,435,480
42,Ha Tinh,2844,1174,519,597,554
44,Quang Binh,2666,1253,433,560,420
45,Quang Tri,2542,1177,450,610,305
46,Thua Thien - Hue,3084,1489,283,857,456
48,Da Nang,5506,3006,54,1561,885
49,Quang Nam,2905,1524,338,744,300
51,Quang Ngai,2899,1383,400,660,456
52,Binh Dinh,3024,1326,564,716,418
54,Phu Yen,2837,1307,599,638,294
56,Khanh Hoa,3455,2135,330,686,304
58,Ninh Thuan,2631,1191,477,594,369
60,Binh Thuan,3444,1537,940,658,310
62,Kon Tum,2007,879,636,365,127
64,Gia Lai,2586,1141,865,434,146
66,Dak Lak,2747,1070,886,548,244
67,Dak Nong,3029,726,1414,647,244
68,Lam Dong,3640,1296,1134,864,347
70,Binh Phuoc,3603,1579,1108,687,230
72,Tay Ninh,4258,2140,649,1038,432
74,Binh Duong,6823,3704,427,2124,567
75,Dong Nai,5299,2701,500,1409,690
77,Ba Ria - Vung Tau,4881,2444,534,1249,654
79,TP. Ho Chi Minh,6177,3919,22,1471,765
80,Long An,4215,1911,895,855,555
82,Tien Giang,3983,1783,981,762,458
83,Ben Tre,3408,1122,935,792,559
84,Tra Vinh,2869,936,888,463,583
86,Vinh Long,3089,1159,680,688,563
87,Dong Thap,3499,1274,758,856,612
89,An Giang,3559,1232,780,1012,536
91,Kien Giang,3779,1279,1099,717,684
92,Can Tho,4371,1964,498,1073,837
93,Hau Giang,3548,1074,793,975,706
94,Soc Trang,3652,1235,1041,775,602
95,Bac Lieu,2699,805,1010,567,317
96,Ca Mau,2986,798,1015,813,360
