id,MAJ_NAME,SUB_NAME,MAJ_AREA,TO_BAS,SUB_BAS,MAJ_BAS,SUB_AREA
17,"Viet Nam, Coast",Mid Vietnam,186187,0,0,5017,0
2,South Myanmar,South Myanmar,85714,0,0,0,0
23,Sittang,Pyaunglaung,59680,23002,23001,5023,4972
21,Peninsula Malaysia,Mottama,311477,-999,21001,5021,9380
22,Salween,Tanggula Shan 1,265822,22003,22001,5022,29221
20,Chao Phraya,Mae Nam Wang,157686,20005,20001,5020,26290
24,Irrawaddy,Nmai Hka,402028,24008,24001,5024,19942
19,Gulf of Thailand Coast,Sa Keo,55013,-999,19006,5019,21956
18,Mekong,Za Qu,803303,18004,18001,5018,19102
11,Xun Jiang,Zou Jiang 2,412953,11019,11015,5011,8663
12,South China Sea Coast,GuangdongCoast 1,69644,-999,12004,5012,619
16,Hong (Red River),Lishe Jiang 4,165007,16005,16001,5016,9507
